date,visitors,sales_rp,stock
2023-09-25,61,2610,238
2023-09-26,42,2011,161
2023-09-27,42,1701,85
2023-09-28,41,1637,50
2023-09-29,57,2540,50
2023-09-30,72,2689,50
2023-10-01,93,4045,50
2023-10-02,48,1849,295
2023-10-03,50,2087,203
2023-10-04,62,2435,84
2023-10-05,48,1745,50
2023-10-06,62,2674,50
2023-10-07,84,3099,50
2023-10-08,94,4449,50
2023-10-09,56,2179,259
2023-10-10,66,3125,148
2023-10-11,53,2153,50
2023-10-12,67,2741,50
2023-10-13,54,2486,50
2023-10-14,83,3581,50
2023-10-15,80,3624,50
2023-10-16,50,1901,347
2023-10-17,60,2325,243
2023-10-18,59,2641,134
2023-10-19,68,3069,50
2023-10-20,51,2446,50
2023-10-21,95,4151,50
2023-10-22,93,3578,50
2023-10-23,65,2845,298
2023-10-24,61,2889,181
2023-10-25,59,2534,79
2023-10-26,63,2423,50
2023-10-27,48,2273,50
2023-10-28,97,3896,50
2023-10-29,94,3714,50
2023-10-30,54,2421,288
2023-10-31,67,3028,167
2023-11-01,51,1981,75
2023-11-02,53,2291,50
2023-11-03,53,2421,50
2023-11-04,96,4287,50
2023-11-05,83,3333,50
2023-11-06,62,2555,289
2023-11-07,63,2752,186
2023-11-08,53,2244,93
2023-11-09,68,3036,50
2023-11-10,67,2862,50
2023-11-11,89,3630,50
2023-11-12,81,3825,50
2023-11-13,58,2673,260
2023-11-14,62,2684,151
2023-11-15,66,2931,50
2023-11-16,62,2705,50
2023-11-17,55,2136,50
2023-11-18,96,4323,50
2023-11-19,85,3546,50
2023-11-20,59,2698,271
2023-11-21,62,2643,168
2023-11-22,68,2933,50
2023-11-23,58,2586,50
2023-11-24,47,1727,50
2023-11-25,81,3121,50
2023-11-26,97,4536,50
2023-11-27,62,2779,332
2023-11-28,65,2836,226
2023-11-29,52,2010,140
2023-11-30,68,2574,50
2023-12-01,51,2025,50
2023-12-02,99,3617,50
2023-12-03,94,4281,50
2023-12-04,54,1964,322
2023-12-05,55,2506,217
2023-12-06,52,2177,115
2023-12-07,57,2242,50
2023-12-08,59,2820,50
2023-12-09,93,3765,50
2023-12-10,93,3922,50
2023-12-11,61,2411,270
2023-12-12,64,2613,152
2023-12-13,55,2207,54
2023-12-14,49,1805,50
2023-12-15,53,2006,50
2023-12-16,88,4142,50
2023-12-17,94,3472,50
2023-12-18,69,3233,291
2023-12-19,63,2628,169
2023-12-20,55,2030,74
2023-12-21,63,3023,50
2023-12-22,49,1988,50
2023-12-23,93,3679,50
2023-12-24,121,5239,50
2023-12-25,124,5444,194
2023-12-26,122,5126,50
2023-12-27,134,6194,50
2023-12-28,140,5880,50
2023-12-29,136,5604,50
2023-12-30,132,5718,50
2023-12-31,124,4885,50
